name,brand,rating,average_rating
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,1,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,4,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,3,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,3,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Sword Art Online: Fatal Bullet - PlayStation 4,Bandai,5,4.4221
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,2,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,4,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,3,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,1,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,5,3.9133
Nintendo Switch Joy-Con (L) Wireless Controller Neon Blue,Nintendo,4,3.9133
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,3,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,1,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,1,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,1,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,1,4.4111
RIG 800HS Wireless Gaming Headset for PlayStation 4,RIG,5,4.4111
Funko POP! Games: Pokemon Pikachu (Sitting) 3.75-in Vinyl Figure,Funko,5,4.5882
Funko POP! Games: Pokemon Pikachu (Sitting) 3.75-in Vinyl Figure,Funko,5,4.5882
Star Wars Episode IX: The Rise of Skywalker Supreme Leader Kylo Ren Force FX Elite Lightsaber,Hasbro,5,4.5952
Funko POP! Games: Pokemon Pikachu (Sitting) 3.75-in Vinyl Figure,Funko,5,4.5882
Star Wars Episode IX: The Rise of Skywalker Supreme Leader Kylo Ren Force FX Elite Lightsaber,Hasbro,4,4.5952
Funko POP! Games: Pokemon Pikachu (Sitting) 3.75-in Vinyl Figure,Funko,4,4.5882
Star Wars Episode IX: The Rise of Skywalker Supreme Leader Kylo Ren Force FX Elite Lightsaber,Hasbro,5,4.5952
